CTSA	1e-13
GRN	1e-13
DPP7	1e-13
UHRF1	1e-13
TPP1	1e-13
CITED2	1e-13
CTNS	1e-13
PSAT1	1e-13
PRKAR2B	1e-13
CDCA7	1e-13
WASHC2	1e-13
LAMP1	1e-13
ISYNA1	1e-13
RENBP	1e-13
PCLAF	1e-13
MAP3K1	1e-13
TCN2	1e-13
APPL2	1e-13
MCM5	1e-13
PSEN2	1e-13
P2RY1	1e-13
MCM10	1e-13
CREBRF	1e-13
NAGA	1e-13
GABARAP	1e-13
DTL	1e-13
GBA	1e-13
MCM4	1e-13
ALAS2	1e-13
AFF4	1e-13
HEXIM1	1e-13
UAP1L1	1e-13
UBN1	1e-13
VPS11	1e-13
EXO1	1.05461583771497e-13
MCM3	1.08915721642366e-13
SLC29A1	1.69107022898162e-13
WDR81	2.43881390555847e-13
MCM6	3.16570518341626e-13
VPS26A	3.27656675942528e-13
CBX5	3.38308541326492e-13
DUT	8.07061784284708e-13
ATP6V0D1	8.07061784284708e-13
DHFR	1.12097216809794e-12
DVL2	1.30087540387884e-12
RRAGC	1.51697519329355e-12
RPH3AL	2.92848106569969e-12
ATP6V1E1	3.26298276175877e-12
HBP1	3.40388351179327e-12
ATP6V0B	3.40388351179327e-12
TRUB1	3.50475473119426e-12
SLC38A2	5.45325065626233e-12
MTMR3	6.1283703663998e-12
FLCN	7.94525360689083e-12
CCRL2	8.75641475535752e-12
FBXL19	1.08959698126749e-11
PFAS	1.14992138160662e-11
NDEL1	1.34243616289377e-11
AMDHD2	1.34243616289377e-11
NLGN2	1.48503018168287e-11
RAB43	2.16040788363831e-11
UBAP1	3.01058213213393e-11
WDR7	3.24726414924545e-11
MXI1	5.1002680781386e-11
MCOLN1	5.1002680781386e-11
AMPD3	5.48368473756691e-11
RABGAP1	5.93318300473094e-11
SAT1	6.46089164042051e-11
WBP2	6.80619043761399e-11
NINL	1.12073518984042e-10
TCOF1	1.37997697975488e-10
FNIP1	1.49314292494548e-10
WASHC5	1.85498489584056e-10
ATP6V1D	1.90639941682559e-10
RMI2	1.92940547110959e-10
JMY	2.28484184114955e-10
UBE2B	2.48428277227672e-10
RRM2	2.64454180084035e-10
WDR26	3.19973567517547e-10
NUP85	4.3036682946755e-10
TYMS	5.50280572298429e-10
DCTD	8.26947984549606e-10
MYC	9.51063135127312e-10
ITSN1	9.58174838715664e-10
POLD1	9.96995544571185e-10
HNRNPH2	1.05283868294764e-09
FNIP2	1.15497758025451e-09
CTPS	1.19013114146614e-09
GIGYF1	1.20956873343323e-09
CORO1B	1.66955830554437e-09
ACOX1	2.04355645677196e-09
MXD1	2.20392555103767e-09
KDM2A	2.6099958586144e-09
CTSD	2.6099958586144e-09
CHEK1	2.71145337394295e-09
KDM6B	3.13013920489792e-09
RAD51	3.14786898417078e-09
MYBL2	3.72095455645449e-09
CLCN7	3.98801766374997e-09
RMC1	4.40021181228993e-09
FOXN3	4.6167479231605e-09
PDPK1	5.67135353325016e-09
MPV17	5.67135353325016e-09
TARS2	5.82614848115507e-09
LMNB1	6.01817623159051e-09
ALDH1A1	6.0427985145417e-09
IVNS1ABP	6.09147706824607e-09
NEK4	6.09147706824607e-09
GPN1	6.41467232214566e-09
ABHD4	7.10129474952726e-09
CDC6	7.23328168845598e-09
SORD	7.64559050853128e-09
TTF2	9.00159191688145e-09
UMPS	1.0647899715094e-08
GNS	1.20287696214395e-08
NCOA4	1.20287696214395e-08
DYRK1A	1.20287696214395e-08
SSRP1	1.22280697082618e-08
FHDC1	1.34744456953407e-08
IFFO1	1.57846777305464e-08
XK	1.93459356963204e-08
SMCR8	1.93486111705106e-08
PDE3B	1.97532410377723e-08
TFDP1	1.97532410377723e-08
ELL2	2.28189732192819e-08
NME2	2.41894434151286e-08
ABI1	2.41894434151286e-08
EXOSC2	2.42397914310555e-08
LIG1	2.81197641127982e-08
NUCKS1	2.90746872889837e-08
HELLS	3.29349093548907e-08
DCAF6	3.29687024330625e-08
BARD1	3.5093216508679e-08
NEU1	3.5093216508679e-08
NDUFAF4	4.13077834430621e-08
PSAP	4.30593767241019e-08
YBX1	4.58239810696055e-08
SGPL1	5.55264172836285e-08
TUBB5	5.7681681214548e-08
ATG14	6.73430174885843e-08
ZFYVE26	7.71206268592677e-08
RAB22A	7.71206268592677e-08
GDF3	7.71472192224521e-08
SRM	7.90829489706665e-08
CD47	8.83954956701184e-08
KAT2B	9.39563718353587e-08
MFGE8	9.39563718353587e-08
ATP6V1H	1.22427987950946e-07
MTHFD1L	1.22427987950946e-07
IPO11	1.23013353800982e-07
RCC2	1.23759831714235e-07
CCNG1	1.25351205169469e-07
E2F8	1.30908309203893e-07
ATIC	1.33895695320463e-07
NDC1	1.39160843896484e-07
KCNAB2	1.45414644874255e-07
CDC25A	1.50304887960447e-07
ATP6V1C1	1.54639988338721e-07
PDIA2	1.54639988338721e-07
ACSL5	1.54639988338721e-07
ABCC2	1.55408746239252e-07
RUSC2	1.6044793181279e-07
UTP20	1.68831660876417e-07
MYLIP	1.73034977126351e-07
MTHFD1	1.74594474122742e-07
OTUD7B	1.74594474122742e-07
TRIP13	1.91443126930837e-07
TRAF3	1.97791811360922e-07
NSD2	1.98650158182926e-07
ATP2B1	2.02178405488014e-07
EXTL3	2.02178405488014e-07
NRIP1	2.02178405488014e-07
LAMTOR3	2.09747781017553e-07
ZBTB7B	2.10842851050127e-07
BCL2L11	2.12423271632136e-07
CDK6	2.12423271632136e-07
NR3C2	2.38443554416587e-07
ORAI3	2.51771240450556e-07
PPM1D	2.55387516044198e-07
DAPP1	2.68506599425205e-07
RIOX2	2.84681683702234e-07
NR4A2	2.84681683702234e-07
HSP90B1	2.88156414281337e-07
CTSB	2.94776161601319e-07
RECQL	2.97864561561982e-07
KLHL24	3.0518835598969e-07
PRNP	3.07432146749708e-07
PIP5K1A	3.59063325284943e-07
SPP1	3.81976452169373e-07
NAP1L1	4.07233405398376e-07
GPCPD1	4.25828480300521e-07
XRCC5	4.29727421954477e-07
SNCA	4.42878071123137e-07
GGA2	4.60048950273988e-07
UBAP2L	4.76999169841333e-07
