ALAS2	1e-13
CAR2	1e-13
PRDX2	1e-13
LGALS1	1e-13
HBQ1B	1e-13
RAB3IL1	1e-13
ELL2	1e-13
SPTA1	1e-13
ATP6V0D1	1e-13
ARAP3	1e-13
HDAC7	1e-13
FHDC1	1e-13
BTK	1e-13
ADD2	1e-13
SPTB	1e-13
GYPC	1e-13
EGR1	1e-13
CES2G	1e-13
CMTM7	1e-13
GYPA	1e-13
DOCK2	1e-13
MAP3K1	1e-13
AMPD3	1e-13
JAK3	1e-13
CTSD	1e-13
CLDN13	1e-13
ATP6V1D	1e-13
ADCY7	1e-13
PRKAR2B	1.87018150419322e-13
LAPTM5	2.27658395066745e-13
PSME4	2.82606279924768e-13
ALDH1A1	4.91848289008104e-13
SNCA	5.69957431130592e-13
DNAH8	2.23429970124926e-12
APPL2	2.88456198822829e-12
IL1RL1	3.29533367723275e-12
BTG2	7.94480893941039e-12
MGST3	8.4033968941007e-12
SYK	9.20909714705806e-12
PICALM	1.05069289672187e-11
ARHGEF2	1.09977075353944e-11
SLC4A1	1.12939316650693e-11
GNG2	2.25506792992495e-11
MYB	2.60627775329252e-11
MID1IP1	5.69464388334915e-11
PTPRS	7.13794025819397e-11
PTPRC	8.18476198222198e-11
WNK4	8.18476198222198e-11
CELF2	8.19567068691046e-11
MINK1	1.03467893948649e-10
CORO1A	1.11037811375132e-10
ANO6	1.14374833212951e-10
TPP1	1.35003152078374e-10
EXTL3	1.71371794340988e-10
TSPOAP1	2.4463973334319e-10
TMOD1	2.82020166245404e-10
PRNP	5.1749080019955e-10
KYAT3	5.40331797925084e-10
VPS26A	1.16664853824607e-09
ABCB10	1.7230149600588e-09
RRAGC	2.51639861820389e-09
IGFBP4	2.5326763478216e-09
PSMB8	3.04328175009557e-09
RAC2	3.05970479418401e-09
TGFB1	4.07768377079502e-09
CASP7	4.10220767907636e-09
SLC29A1	4.80536423860789e-09
EMC4	4.80536423860789e-09
YWHAZ	5.56948599863884e-09
RENBP	5.56948599863884e-09
SLC30A10	6.93960410457656e-09
DCBLD2	7.56861642352813e-09
CLTC	7.57491340170183e-09
PROKR1	8.45558169821862e-09
CDK6	1.06187832544419e-08
MST1	1.17554703216548e-08
RPH3AL	1.40675376885383e-08
SLC11A2	1.71185208122525e-08
CTNS	1.73360329696888e-08
GRN	1.74265726582324e-08
SPN	1.91655085900125e-08
FECH	2.52230511081398e-08
ABCG2	3.86040455640918e-08
DOK2	4.17785803109238e-08
ATP6V1C1	4.40273067729282e-08
FRAT2	4.45665365503012e-08
ST3GAL5	4.51915208986271e-08
SPTSSA	4.61572663082033e-08
WASHC5	5.55060904831223e-08
APBB1IP	6.10524209179096e-08
WASHC2	7.7020326698838e-08
ATP6V1E1	9.39169424854476e-08
ABCG1	1.13675488569284e-07
DNAJC2	1.14237968181263e-07
ANKRD27	1.33675677016545e-07
TAL1	1.34129867072588e-07
TSC1	1.5323536621857e-07
ARHGEF1	1.53637097076062e-07
DMTN	1.56934392229741e-07
RNF145	1.63826045759621e-07
ALDH2	1.63826045759621e-07
ERMAP	2.02524777209387e-07
ST3GAL1	2.1227172609458e-07
TRP53INP2	2.20821158458153e-07
ANK1	2.23801659811405e-07
OAS2	2.49898691581754e-07
UBN1	2.85594080476617e-07
FYB	3.05192304726851e-07
LAMP1	3.43056414877008e-07
TSPAN33	3.48126100399892e-07
DPF3	4.21899360117035e-07
PHYHIP	4.21899360117035e-07
NFE2	4.42648991049289e-07
CD44	4.71362372274956e-07
CPEB4	4.71489757779493e-07
PIP4P1	4.71489757779493e-07
RAC1	4.71489757779493e-07
CDCA7	4.86896778901045e-07
STRIP2	5.00120858936218e-07
MCPT2	5.00411687456645e-07
DHRS11	5.07428911153292e-07
CD47	5.16862835896484e-07
TRIB2	6.02402240340455e-07
CGN	6.09766828968277e-07
DOCK8	6.12075199872896e-07
GGA2	7.08533429646248e-07
NINL	8.00860806049932e-07
ADGRE5	8.53827680033035e-07
GSTO1	1.02314762713888e-06
DPP7	1.15833934646501e-06
CD84	1.17019119340015e-06
VASH2	1.1740464784596e-06
EPB42	1.37825272804432e-06
GIGYF2	1.40060989065552e-06
LYPLA1	1.52175416441001e-06
UPRT	1.60222117026769e-06
PLP2	1.61512768029178e-06
ITSN1	1.7490515914374e-06
UROD	1.94810823865095e-06
AMDHD2	2.31718743858624e-06
RIPOR2	2.44135565555649e-06
UBA7	2.5768843929461e-06
FNIP2	2.81079749295757e-06
KCNAB2	2.92301844291223e-06
RCC2	3.06208824545285e-06
SURF4	3.22300254051468e-06
PFKFB2	3.38535590910982e-06
TRIM10	3.38535590910982e-06
BCAP29	3.42918800897761e-06
NME4	3.5963915018048e-06
CBFB	3.94120423751049e-06
ELMO1	4.04268399115335e-06
PTPN23	4.15201090624427e-06
SMYD5	4.46149658097178e-06
GAB1	4.69608003947583e-06
MAN2B2	4.85398879971494e-06
XXYLT1	5.53937082634384e-06
SPI1	5.53937082634384e-06
HP1BP3	5.54622936711687e-06
GAB2	6.093446797416e-06
FAU	6.1054452941809e-06
KLF1	6.19609888135323e-06
FERMT3	6.41831891888636e-06
HMBS	6.69244161036786e-06
PPP2R5A	7.36205190753904e-06
SCOC	7.36205190753904e-06
CITED2	7.56646473624817e-06
ENG	8.1163499332182e-06
CAP1	8.80441634315081e-06
TNRC6B	9.18052810905731e-06
PIK3IP1	9.34527768665396e-06
PLCB2	9.42649110177961e-06
VANGL1	9.42649110177961e-06
RHAG	9.57762301343475e-06
PPP2R1A	9.59433300512319e-06
IFFO1	9.98065689101956e-06
DCTD	1.02039803965424e-05
VAV1	1.03359191013979e-05
ACTN1	1.04122915518238e-05
TOLLIP	1.28684403403947e-05
GART	1.36014121950669e-05
VPS53	1.37867602741826e-05
CD53	1.37867602741826e-05
FLI1	1.38193209402457e-05
GLYR1	1.40124647055744e-05
HIF3A	1.42863605632844e-05
P2RX7	1.53712019026178e-05
MCOLN1	1.66619786223428e-05
SLC30A9	1.72649979367951e-05
CLCN6	1.80169292698386e-05
RIN3	1.89742767495218e-05
SNRNP25	1.90501702694206e-05
MPG	2.03508889098289e-05
STARD4	2.04470814236725e-05
GNB4	2.14939457838269e-05
MICALL2	2.26324164517573e-05
PFAS	2.8053257966279e-05
ALOX5AP	2.87229073873418e-05
VAPA	2.92260896930017e-05
LCP1	2.96915331932633e-05
IKZF2	3.12451661327162e-05
WAPL	3.41414859776354e-05
VPS11	3.70742123325878e-05
SLC16A10	3.80669598376156e-05
PLCG2	3.80669598376156e-05
WDR81	3.94819061152408e-05
MUC13	4.10672378675666e-05
SNX8	4.10672378675666e-05
LGALS9	4.28242387389562e-05
ACSL5	4.34767164295083e-05
VIM	4.34767164295083e-05
NUDT19	4.43906755324539e-05
TUFT1	4.44199216641018e-05
ARHGDIB	4.48290481935625e-05
DDIT4	4.48917985850024e-05
OPTN	4.72841509963391e-05
MPP2	4.94113614501801e-05
SLF2	5.00666576958087e-05
CXCR4	5.12117149645036e-05
SMOX	5.26682259947863e-05
ALS2	5.42772153210457e-05
KAT2A	5.45708420693687e-05
KLF8	5.55355045938671e-05
UBAP1	5.79748117218007e-05
GLRX	5.80993956776293e-05
UNC93B1	6.14067298154564e-05
VAMP5	6.213613088301e-05
ARPC2	6.25517488778065e-05
WBP2	6.25517488778065e-05
EPN1	6.25517488778065e-05
ATP2B1	6.42062811279023e-05
CLCN7	6.51528981595111e-05
HNMT	6.51528981595111e-05
CCNG1	6.64098444113825e-05
CYB5A	7.01777816653496e-05
CLCN5	7.25281679250847e-05
CNOT4	7.27715520770668e-05
WDR26	7.51115830969461e-05
XPO5	7.73250726055572e-05
ADAMTS10	8.3366820143599e-05
ERGIC1	8.4445976472849e-05
HLCS	8.53051025923041e-05
RGL2	8.53051025923041e-05
SS18	8.53051025923041e-05
APOE	8.60691226720611e-05
STAT5B	8.73609200957683e-05
CDC25B	9.85234077180083e-05
AFF3	0.000100434008532426
MAP1LC3B	0.000105684650118241
MST1R	0.000105863583182182
RABEP1	0.000110549171651758
CD36	0.000113849379441422
UGCG	0.000121821883868598
JADE1	0.000127189885535558
PREX1	0.000132459405229392
LTV1	0.000132745761542077
ADAM10	0.000132745761542077
LIN7C	0.000133030141760427
IGF2R	0.000136303308964945
JADE3	0.000164393165681688
PLD2	0.000167051503758159
TBC1D24	0.000167051503758159
YOD1	0.000169245630410757
LDLR	0.000172372659779521
RNF125	0.000181434539161474
MTMR9	0.000184879654511168
ARHGEF18	0.000189485337450223
PIKFYVE	0.000194281143648646
LTBP4	0.000208938255667787
CMTM6	0.000208938255667787
NYX	0.000237547859655779
ATP6AP2	0.000238914028636608
INSIG1	0.000244495175730309
PTPN6	0.000247692257289977
RNF14	0.000248080583125064
RETSAT	0.000254848584162528
AHSA2	0.000255041362236237
DPP4	0.000255041362236237
NR1D2	0.000255933201373972
XRCC5	0.000256381827542332
KHK	0.000263219954174914
COL5A1	0.000266562127862739
MICU1	0.000274167111867886
FASN	0.000276240890303988
PABPC4	0.00028527300255431
DYRK1A	0.000285872560164491
DDHD1	0.000297882713640178
ITGA5	0.000300086291925358
KALRN	0.000322589453267757
HADH	0.000322589453267757
HERC6	0.000330937157429198
HIPK2	0.000337880984032065
GNAS	0.000339676860417491
SESN1	0.00034720691736032
UAP1L1	0.000355693011764493
IRGM2	0.000360196114823444
GSTT1	0.000362474199237406
SDSL	0.000364158929758923
SQLE	0.00038528043379793
ACHE	0.000385790863814809
MLX	0.000388388433555839
GTF2I	0.000390170734202363
ARNT	0.000392291593750877
MEGF8	0.000392291593750877
FAM50A	0.000395765177399386
PDHA1	0.000396236605894209
SERPINB1A	0.000398434206573206
UNC13D	0.000399698749969064
TMEM14C	0.000406442550225069
RBM20	0.000412257099490336
CDC6	0.000413235998205222
TARS2	0.000413235998205222
GRAP2	0.000418573196034259
GUSB	0.00044089132016191
FLNA	0.000448812684981328
P4HA3	0.000453107600800877
FRMD6	0.000453554648829963
PCX	0.000453554648829963
CD48	0.000470915958138692
FKBP11	0.000470915958138692
RGS18	0.000486959560799709
XPR1	0.000503337727991289
IRAK1	0.000503589106813946
ISYNA1	0.000506651055514435
S100A4	0.000513194413928013
SCN10A	0.000533621953841624
DES	0.00054686871944753
AGPS	0.000582561843315137
ATIC	0.000586774538054698
TCEAL9	0.000586774538054698
LMAN1	0.000589678025337941
SAMD14	0.000591408058970094
HAGH	0.000599585852400955
TMED3	0.000616698238062204
TFAP4	0.000624715948028407
ATG9A	0.000664798020690793
TRAF4	0.000665036775118988
PMAIP1	0.000665036775118988
UVRAG	0.000673622732343137
H1F0	0.000673623691519764
DIP2B	0.000676562518521942
MUS81	0.000700184238686817
DNAJC13	0.000710161457871397
SLC38A2	0.000714373225707081
PRODH	0.000714373225707081
PGAP2	0.000731230501466755
ARHGEF6	0.000757842000504937
FBXW7	0.000766981636939859
TBK1	0.00076817229343272
ACOX1	0.000786251878772826
FRRS1	0.000792961744011798
AGO4	0.000833429406937916
ATP6V1B2	0.000845504813869234
GBA	0.000866641153735719
EHD1	0.000869452786030069
DNMT3B	0.000878780753831914
EIF4EBP2	0.000880938559889715
APOBEC3	0.000880938559889715
ARHGDIG	0.000896915962788042
TRUB1	0.000897100497346093
NEU1	0.00089904614890594
RSAD1	0.000917296514378029
MLST8	0.000966260861935584
CAD	0.000966260861935584
ADAP1	0.000971671833513771
IRF2BP2	0.000990205756718188
STK25	0.0010223725045986
NAT10	0.00102550087640667
POLR2A	0.00103291751457922
TXNDC5	0.00103291751457922
STK38L	0.00103291751457922
RAB22A	0.00106754238094095
RGS14	0.00107442453099354
PTP4A3	0.00110844167765841
RLF	0.00110844167765841
GDF3	0.00110844167765841
RAB43	0.0011091495638012
PACS2	0.00113407821400152
RPL10A	0.00114072257955392
TENM4	0.00114072257955392
EPB41	0.0011477690178486
TSEN15	0.00116142134369322
AP1G1	0.00116602267842562
SH3PXD2B	0.00121298912906935
RCHY1	0.00121405114613289
ATG2B	0.00121879088935723
GDF11	0.0012203683801723
PKM	0.0012203683801723
SMARCD1	0.00122873870611893
WDR20	0.00123005701679989
TCOF1	0.00123005701679989
KDM2A	0.00123005701679989
MFSD10	0.00123005701679989
POLG	0.00123005701679989
RRP9	0.00123005701679989
